Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection A_mwrm,Total Triangles A_mwrm,Colored CA VTK Path
freesurfer,249947,rh,white,NA,NA,NA,0,240953,NA
freesurfer,248339,rh,white,NA,NA,NA,0,265408,NA
freesurfer,250427,rh,white,NA,NA,NA,0,237896,NA
freesurfer,214423,rh,white,NA,NA,NA,0,329820,NA
freesurfer,251833,lh,pial,NA,NA,NA,29,287127,NA
freesurfer,250932,lh,white,NA,NA,NA,0,230106,NA
freesurfer,255639,lh,pial,NA,NA,NA,16,225189,NA
freesurfer,223929,rh,white,NA,NA,NA,0,369115,NA
freesurfer,256540,lh,pial,NA,NA,NA,7,241343,NA
freesurfer,257542,lh,pial,NA,NA,NA,20,256692,NA
freesurfer,263436,lh,pial,NA,NA,NA,12,269982,NA
freesurfer,257845,lh,pial,NA,NA,NA,2,270680,NA
freesurfer,268850,lh,pial,NA,NA,NA,22,254023,NA
freesurfer,275645,lh,pial,NA,NA,NA,22,234876,NA
freesurfer,251833,lh,white,NA,NA,NA,0,287383,NA
freesurfer,268749,lh,pial,NA,NA,NA,14,303549,NA
freesurfer,250932,rh,pial,NA,NA,NA,7,235408,NA
freesurfer,280739,lh,pial,NA,NA,NA,12,231564,NA
freesurfer,255639,lh,white,NA,NA,NA,0,224943,NA
freesurfer,280941,lh,pial,NA,NA,NA,25,258133,NA
freesurfer,283543,lh,pial,NA,NA,NA,13,262645,NA
freesurfer,285345,lh,pial,NA,NA,NA,21,234641,NA
freesurfer,270332,lh,pial,NA,NA,NA,31,333847,NA
freesurfer,284646,lh,pial,NA,NA,NA,19,257195,NA
freesurfer,256540,lh,white,NA,NA,NA,0,241029,NA
freesurfer,297655,lh,pial,NA,NA,NA,11,205520,NA
freesurfer,289555,lh,pial,NA,NA,NA,5,207454,NA
freesurfer,293748,lh,pial,NA,NA,NA,11,215425,NA
freesurfer,257542,lh,white,NA,NA,NA,0,256630,NA
freesurfer,286650,lh,pial,NA,NA,NA,14,276104,NA
freesurfer,285446,lh,pial,NA,NA,NA,12,276369,NA
freesurfer,295146,lh,pial,NA,NA,NA,8,237971,NA
