idx,f1,intersections,pial-traingles,white-traingles
96,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/285446_epoch81_struc2_meshpred.ply,1505,84028,84028
97,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/286650_epoch81_struc2_meshpred.ply,1564,84028,84028
98,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/287248_epoch81_struc2_meshpred.ply,1285,84028,84028
99,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/289555_epoch81_struc2_meshpred.ply,1537,84028,84028
100,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/290136_epoch81_struc2_meshpred.ply,1572,84028,84028
101,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/293748_epoch81_struc2_meshpred.ply,1655,84028,84028
102,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/295146_epoch81_struc2_meshpred.ply,1413,84028,84028
103,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/297655_epoch81_struc2_meshpred.ply,1627,84028,84028
104,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/298051_epoch81_struc2_meshpred.ply,2054,84028,84028
105,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/298455_epoch81_struc2_meshpred.ply,1550,84028,84028
106,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/299154_epoch81_struc2_meshpred.ply,1683,84028,84028
